2
G6 M4
A5 G5
D4 A8
G6 A10
A8 A3
L10 E12
M4 M7
A10 H3
L10 I6
L10 L1
F3 E5
L10 F10
E5 D8
A5 D6
L10 L3
C4 G11
G3 L10
A5 C12
M7 E5
C8 F6
D8 F3
A5 F6
G9 H1
H3 M1
A3 A11
C8 C7
F3 D4
A5 C3
G3 L4
C8 F5
G9 G3
M1 L3
G3 H2
A5 I1
G9 I9
L12 G3
L10 N5
L10 F8
G9 G12
A5 H12
G3 B11
C8 G7
L10 A2
A5 C1
G3 M12
A5 H2
L10 L4
C8 D8
G3 E7
L3 C10
G3 E6
L10 D10
L10 B1
A5 B6
G3 L10
A5 I7
G9 C4
G11 H8
A11 E5
G3 F4
L10 N8
C8 C4
G9 A11
H8 G3
L10 N6
G3 H5
D4 N3
A5 E1
L10 E6
A5 A5
G3 B9
F4 F1
E5 I7
L10 H3
G9 F2
C10 N6
G9 B3
N6 I1
G9 H9
C8 I9
I7 F11
F1 I4
G3 D12
A5 A10
F11 E6
I1 C12
G9 I11
C12 F11
L10 A3
L10 G2
G3 C10
H5 I7
L10 I7
I4 D5
L10 F4
A5 B6
L10 M8
F11 L4
N3 N5
L10 F8
G3 M1
A5 A2
G9 M1
L10 D5
G9 F2
C8 A12
G9 C10
I7 L1
N5 A2
A5 B7
G3 C7
L4 D7
G9 H2
C8 C12
G9 I8
D5 E1
A2 N5
L1 F10
E6 A6
A5 N11
G3 C8
F10 H1
L10 E4
C8 C11
N5 C9
L10 E4
L10 G7
C8 N1
G3 G6
H1 E9
G9 A7
D7 B3
C9 E3
L10 A11
A6 C4
E1 I3
G3 M2
A5 F9
G3 G4
A5 B11
L10 H11
A5 M2
E3 D5
L10 F4
G9 A11
L10 L6
G3 A6
L10 B12
G9 N11
E9 L1
L10 F3
B3 E11
G9 L4
L10 B3
L10 M12
C8 L9
G3 N3
I3 B10
G3 H12
L10 H10
C4 D7
B10 I2
L10 C8
L10 F9
G3 M8
C8 F2
G3 I6
L10 H5
L10 A9
L10 L10
G9 B11
I2 M9
G9 L12
L10 D4
L10 B5
L10 I6
G3 G10
M9 D10
D7 G7
L10 F4
G7 M8
A5 F6
L10 N10
L10 M11
M8 B10
L10 A11
L10 G10
C8 I12
G3 I9
C8 I3
G3 H4
L1 F3
D5 D4
D10 M8
D4 A6
A5 B2
G9 I11
E11 F4
A6 E3
L10 M1
E3 I12
F4 L12
G3 G6
A5 F4
I12 A10
C8 I11
L10 A3
L12 N5
L10 D9
A5 D4
G3 A8
F3 H4
L10 M8
N5 B5
L10 D5
B5 E2
L10 N4
C8 N6
A10 F11
A5 L3
L10 B9
L10 D7
L10 H3
H4 M11
G9 D6
E2 F9
G9 B7
M8 F12
G9 I10
A5 B12
F11 L1
F9 G7
G9 F9
A5 G6
G3 I2
A5 E2
B10 M7
F12 D2
L10 B12
A5 A1
G3 I2
G7 L1
L1 A7
A5 M7
A7 I12
L10 M12
L10 D10
L10 C3
M7 G7
A5 L12
G9 G4
A5 G12
G3 E7
L1 H4
I12 C5
M11 D3
C5 A8
A5 I4
G3 C2
D2 H11
G9 F5
H11 I8
L10 E7
D3 E7
G9 M8
I8 L4
G7 N3
C8 F9
G3 H9
C8 C2
A8 B8
C8 D11
G9 I6
E7 G2
B8 B2
H4 I8
L10 D11
I8 I6
L10 F12
L10 E5
G3 N8
A5 I10
L10 I8
A5 F2
